"ID","Vaccine Name","Disease Name","Disease Classification","Virus Name","Nucleic Acid Content","Vaccine Type","Vaccine Status","Manufacturer","Year of Manufacturing","Manufacturing Country","Age","Dosage","Administration Route","Adjuvant","Target Strain","Description","Approving Organisation","Collaborating Organisation","Other Countries","Trade Name","PMID","Clinical Trial ID","Reference Link","Additional Links"
"10001","Spikevax","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","RNA based vaccine","Approved","Moderna Inc.","2020","USA","18 years and above","2 doses 28 days apart","Intramuscular","NA","Spike protein of SARS-CoV-2 virus","mRNA based vaccine","US FDA","NA","USA, Canada, UK, Netherlands, Denmark, Germany, Switzerland","mRNA-1273, CX-024414, COVID-19 mRNA Vaccine Moderna, TAK-919, Moderna COVIDâ€‘19 Vaccine, COVIDâ€‘19 Vaccine Moderna, COVID-19 Vaccine Moderna Intramuscular Injection, Elasomeran","NA","NCT04969250","https://www.fda.gov/emergency-preparedness-and-response/coronavirus-disease-2019-covid-19/spikevax-and-moderna-covid-19-vaccine","NA"
"10002","CoronaVac","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Inactivated","Approved","Sinovac Biotech Ltd.","2021","China","18 - 59 years","2 doses 28 days apart","Intramuscular","NA","Antigenic strain of H1N1, H3N2, BV and BY","NA","NA","NA","NA","PiCoVacc, Inactivated SARS-CoV-2 vaccine (Vero cell)","NA","NCT04801888","https://clinicaltrials.gov/show/NCT04801888","https://cdn.who.int/media/docs/default-source/immunization/sage/2021/april/4_sage29apr2021_sinovac.pdf"
"10003","Inactivated SARS-CoV-2 vaccine (Vero cell)","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Inactivated","Approved","Hubei Provincial Center for Disease Control and Prevention","2020","China","NA","NA","Intramuscular","NA","NA","NA","NA","NA","NA","NA","NA","NA","http://www.chictr.org.cn/showproj.aspx?proj=126385","NA"
"10004","Inactivated SARS-CoV-2 vaccine (Vero cell)","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Inactivated","Approved","Shanghai Municipal Center for Disease Control and Prevention","2021","China","NA","NA","Intramuscular","NA","NA","NA","NA","NA","NA","NA","NA","NA","http://www.chictr.org.cn/showproj.aspx?proj=126277","NA"
"10005","KconecaVac","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Inactivated","Approved","Shenzhen Kangtai Biological Products Co. Ltd","2021","China","18 years and above","2 doses 28 days apart","Intramuscular","NA","NA","NA","China FDA","NA","NA","NA","NA","NCT04852705","https://clinicaltrials.gov/show/NCT04852705","https://www.reuters.com/article/us-health-coronavirus-vaccine-kangtai/kangtai-biologicals-covid-19-vaccine-gets-emergency-use-approval-in-china-idUSKBN2CV1F6"
"10006","Inactivated SARS-CoV-2 vaccine (Vero cell)","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Inactivated","Approved","Shanghai Oriental Hospital","2021","China","NA","NA","Intramuscular","NA","NA","NA","NA","NA","NA","NA","NA","NA","http://www.chictr.org.cn/showproj.aspx?proj=122756","NA"
"10007","Abdala","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Approved","Center for Genetic Engineering and Biotechnology","2021","Cuba","19 - 80 years","NA","Intramuscular","Aluminum (aluminium hydroxide)","NA","NA","Cuba Drug Regulator","NA","Cuba, Venezuela","CIGB-66","NA","NA","https://rpcec.sld.cu/en/trials/RPCEC00000363-En","https://rpcec.sld.cu/en/trials/RPCEC00000359-En"
"10008","PiCoVacc","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Live-attenuated","Approved","Sinovac Biotech Ltd.","2020","China","18 - 59 years","2 doses 14 or 28 days apart","Intramuscular","Aluminum (alum)","NA","NA","WHO","NA","Brazil, Indonesia, Turkey","CoronaVac ","32328406","NA","https://pubmed.ncbi.nlm.nih.gov/32328406/","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7202686/"
"10009","Sinopharm Vaccine (Vero cell inactivated)","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Live-attenuated","Approved","Sinopharm","2020","China","NA","2 doses 14 or 21 days apart","Intramuscular","Aluminum (alum)","NA","NA","WHO","NA","Jordan, Bahrain, Morocco, UAE","NA","32328406","NA","https://pubmed.ncbi.nlm.nih.gov/32328406/","https://covid19.health.gov.mv/wp-content/uploads/2021/10/SINOPHARM-INFORMATION-SHEET_Final-Revised-09th-June.pdf"
"10010","BBIBP-CorV (Vero cell) (Covilo)","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Live-attenuated","Approved","China National Biotec Group Company Limited","2021","China","18 years and above","2 doses 14 or 28 days apart","Intramuscular","Aluminum","NA","NA","WHO","Beijing Institute of Biotechnology","UAE, Jordan, Egypt, Bahrain, Argentina","BBIBP-CorV, COVILO","32328406","NA","https://pubmed.ncbi.nlm.nih.gov/32328406/","https://www.precisionvaccinations.com/vaccines/sinopharm-covid-19-vaccine-bbibp-corv"
